3.75837 5.04052 3.35101 2.45499 1.97965 1.76024 1.65215 1.57868 1.54431 1.54380
4.21697 4.32800 2.83239 2.07758 1.67768 1.48715 1.38739 1.33460 1.30288 1.30455
4.73151 3.66610 2.38675 1.74465 1.41448 1.25420 1.17455 1.12424 1.10569 1.10600
5.30884 3.09802 2.01134 1.47309 1.19710 1.06176 0.98818 0.95641 0.94262 0.93688
5.95662 2.62187 1.70031 1.24358 1.00830 0.89432 0.83847 0.81075 0.79459 0.78946
6.68344 2.19319 1.41915 1.04035 0.84946 0.75280 0.70761 0.68061 0.66902 0.66918
7.49894 1.81760 1.18165 0.86765 0.71040 0.63156 0.59162 0.57218 0.56172 0.55926
8.41395 1.50863 0.98377 0.72384 0.59167 0.52665 0.49302 0.48005 0.46797 0.46880
9.44061 1.24069 0.81302 0.59985 0.49220 0.43979 0.41077 0.39810 0.38938 0.38993
10.59254 1.02879 0.67069 0.49567 0.40634 0.36398 0.34113 0.32898 0.32373 0.32255
11.88502 0.84177 0.54975 0.40571 0.33333 0.29858 0.28079 0.27176 0.26579 0.26700
13.33521 0.68337 0.44796 0.33203 0.27411 0.24480 0.23002 0.22294 0.21765 0.21787
14.96236 0.55354 0.36436 0.26965 0.22183 0.19922 0.18681 0.18091 0.17644 0.17812
16.78804 0.44574 0.29423 0.21784 0.17910 0.16047 0.15181 0.14622 0.14336 0.14372
18.83649 0.35638 0.23491 0.17484 0.14290 0.12861 0.12115 0.11704 0.11474 0.11523
21.13489 0.28265 0.18723 0.13840 0.11327 0.10219 0.09627 0.09304 0.09105 0.09160
23.71374 0.22319 0.14707 0.10857 0.08875 0.08046 0.07563 0.07328 0.07180 0.07201
26.60725 0.17318 0.11434 0.08415 0.06924 0.06180 0.05849 0.05678 0.05593 0.05573
29.85383 0.13300 0.08717 0.06447 0.05268 0.04713 0.04477 0.04328 0.04262 0.04266
33.49654 0.10017 0.06601 0.04851 0.03984 0.03557 0.03376 0.03253 0.03252 0.03227
37.58374 0.07480 0.04897 0.03621 0.02963 0.02633 0.02527 0.02422 0.02401 0.02400
